Country Name,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Djibouti,Renewable electricity output (% of total electricity output),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,Renewable electricity output (% of total electricity output),53.33333333,51.61290323,51.61290323,51.61290323,50,51.78571429,60,51.51515152,47.14285714,43.24324324,41.55844156,33.37453646,44.93116395,36.30573248,29.48381452,23.52445194,22.80557834,17.5059952,15.94427245,17.300522,19.70006817,29.66887417,22.32620321,25.54627697,20.79685061,16.17578926
Denmark,Renewable electricity output (% of total electricity output),3.175275191,2.892324531,4.398464441,4.730087714,4.295431022,5.0356385,3.88003434,6.609500169,9.546858658,11.25128469,15.45502455,15.49471229,17.28052536,17.49014853,23.55574241,27.0705733,20.17276534,26.21070302,27.57264584,27.65852184,31.98239926,40.2537682,48.32741605,45.96033733,55.90044743,65.50592462
Dominican Republic,Renewable electricity output (% of total electricity output),10.11357491,13.65853659,10.01612614,21.74481599,10.22465947,11.77651999,13.65079365,9.853510227,11.2496431,14.2451068,9.147783627,7.459189253,8.871083131,12.09425176,16.51550132,17.79232371,15.38195883,14.13065193,11.60785354,13.04656445,11.8888078,12.08961708,14.47658882,16.5696884,13.33937266,11.63244298
Algeria,Renewable electricity output (% of total electricity output),0.838301043,1.689247622,1.088264246,1.818275471,0.834884072,0.978950038,0.653626416,0.348885891,0.924254148,0.819970109,0.212498032,0.25915493,0.206163194,0.896148253,0.8032,1.636444051,0.618861069,0.607592214,0.703350234,0.794784551,0.380460926,0.980009371,1.083680332,0.551010185,0.395379969,0.322683799
East Asia & Pacific (excluding high income),Renewable electricity output (% of total electricity output),22.50711895,20.53815469,19.52967185,19.50767773,19.40981118,20.22353526,18.60126345,17.75972526,18.34232351,17.66526921,17.73926991,19.55724099,18.11278125,15.79325327,16.59139895,16.39829851,15.99464835,15.66008805,17.89387004,17.960607,18.41715587,17.05245239,19.97457274,20.26318423,22.30929817,23.39468535
Early-demographic dividend,Renewable electricity output (% of total electricity output),26.02858893,25.51934094,25.22191518,25.25980868,24.95371286,24.01544007,23.4452834,22.68928183,22.23826847,21.55048622,20.68827212,19.7569167,19.27132024,19.12102459,19.70715165,20.23718994,20.72743254,19.50357197,19.01642264,18.26933622,18.75640256,19.10524398,18.40720877,19.06642076,18.2713436,18.10486154
East Asia & Pacific,Renewable electricity output (% of total electricity output),15.78372005,15.06818728,14.04095376,14.60999934,13.35589964,14.28531591,13.38093688,13.14048948,13.51205829,12.8700797,12.80282455,13.69274594,13.00310514,12.39745276,12.97718091,12.65811993,12.86562392,12.56321259,14.20488824,14.51379865,15.20590895,14.66940704,16.82560298,17.43331758,19.30149218,20.41246622
Europe & Central Asia (excluding high income),Renewable electricity output (% of total electricity output),14.65744485,15.39898461,16.46084573,18.36361899,20.0570295,20.30053412,19.75620256,19.75774615,20.63872173,20.19179362,19.10488463,18.89159123,18.68596755,17.9846826,19.91966609,19.07497414,18.43789998,17.23940116,16.25634964,17.99086109,18.55276427,17.25590825,17.44390544,19.14579474,17.47323312,18.61801884
Europe & Central Asia,Renewable electricity output (% of total electricity output),16.10004557,16.35667711,17.29709524,18.34282051,18.98916882,18.9020371,17.85194992,18.30907534,18.8577327,18.90278688,19.0217803,18.97672505,17.93036322,17.08249373,18.43607831,18.61146543,18.48153506,18.94834348,19.63669977,21.31451441,22.28570199,22.11694734,24.23053443,26.423832,27.1158848,28.02017644
Ecuador,Renewable electricity output (% of total electricity output),78.5478028,72.77028965,69.1217343,78.39697747,80.61149312,61.22909005,67.92291221,63.05732484,59.74288338,69.62553357,71.70184697,63.99095023,63.29912517,62.19469946,57.57340376,55.11637081,51.69449378,56.54165649,61.14152097,50.84818784,45.49182429,55.55880062,54.86934827,48.99187481,49.17513473,52.80294232
"Egypt, Arab Rep.",Renewable electricity output (% of total electricity output),23.50435441,22.34964782,21.23560576,21.93698217,22.25174428,21.94807692,20.955749,20.51584857,19.41047549,21.43660121,17.70344113,18.43255445,14.64626079,14.06448631,12.99815398,12.14095133,11.73325708,13.05932278,11.90094628,10.06906475,10.04795771,9.326836334,8.87941298,8.881880393,8.870907791,8.259285514
Euro area,Renewable electricity output (% of total electricity output),11.90766591,12.58779913,12.92167004,13.44053159,14.64259009,13.57825564,14.01174282,13.52812515,13.64596019,13.61769323,13.89748084,14.90172607,13.03570123,13.57339636,14.26675128,13.5149794,14.83137644,15.82794368,17.2412214,19.37546125,21.27674081,21.50521759,24.26701512,27.8493233,29.24295287,28.7184688
Eritrea,Renewable electricity output (% of total electricity output),0,0,0,0,0,0,0,0.46728972,0.512820513,0.46728972,0.476190476,0.429184549,0.386100386,0.36101083,0.35335689,0.347222222,0.743494424,0.694444444,0.696864111,0.677966102,0.643086817,0.59347181,0.557103064,0.540540541,0.515463918,0.492610837
Spain,Renewable electricity output (% of total electricity output),17.21624803,17.97039076,12.50925335,16.16325375,18.0606829,14.72016232,23.7908459,19.54617308,19.07369488,13.2668082,15.61372617,21.15357387,13.83061642,21.67904459,18.1346963,14.60139232,17.64281993,19.30930065,19.98308562,25.38124981,32.77554304,30.0216442,29.58474801,39.58357761,40.10525588,34.94989057
Estonia,Renewable electricity output (% of total electricity output),0,0,0.008452371,0.01096852,0.03277972,0.092028069,0.076897726,0.119331742,0.187771388,0.193517175,0.211441325,0.212189084,0.351823619,0.482330938,0.582298137,1.087702107,1.335799425,1.18949959,1.861827805,6.162433079,8.05307004,9.144497014,12.34227459,9.190207156,11.16021212,14.4187386
Ethiopia,Renewable electricity output (% of total electricity output),88.35274542,89.49545079,92.74778405,91.32321041,93.3149552,93.51669941,94.19837804,97.0260223,97.09618875,98.84428224,98.6260454,99.055666,98.97260274,99.30313589,99.29105947,99.57820738,99.69409605,95.43276008,87.6356897,88.87775551,99.37751004,99.41603535,99.84193888,99.90806711,99.96847084,99.96167481
European Union,Renewable electricity output (% of total electricity output),13.43418237,13.77592747,14.44904474,14.88810427,15.16402648,14.83876717,14.42449253,14.81844962,15.21744872,15.15052399,15.52892068,16.17962738,14.36759553,14.18338216,15.30979636,15.33085038,15.89475142,16.79032191,18.21959611,20.27256827,22.10555373,22.15848905,25.00920753,27.90496965,29.57946632,29.7153525
Fragile and conflict affected situations,Renewable electricity output (% of total electricity output),37.69427085,40.27640671,41.51295234,41.61399645,41.64447646,39.78950952,39.5058416,39.81437348,40.14983643,41.1066446,41.28780233,39.09498815,38.37636668,39.11149977,40.75189356,43.54644703,43.13291635,42.81602869,41.13372452,41.22722584,38.95425052,40.42970288,39.70203159,39.23926192,38.3939088,36.18664368
Finland,Renewable electricity output (% of total electricity output),29.45179028,31.38171283,34.75097445,31.82599584,27.82221816,30.52237058,25.60217952,29.1300451,34.78558297,30.51240336,33.41002629,28.92758371,26.45587352,22.60868534,29.85730095,33.24927035,27.29371173,29.93784233,35.8779316,30.10864588,29.99107519,32.89070897,40.56184403,35.96699272,38.58049167,44.49903057
